id;first_name;last_name;middle_name;gender;birthdate;phone_number;email;hemis_id;passport_number;jshshir;is_active;tution_type;nationality;country;city;region;address_line;course;semester;education_language;education_type;education_form
1;Jamil;Rosenbaum;solemnly distant;graduate;ouch note enormously;generally;Dusty_Schimmel@gmail.com;14286;triumphantly;phooey;true;KONTRAKT;fatal busy;Colombia;North Maiyacester;whoa imperturbable;swiftly;28389;29903;UZBEK;KUNDUZGI;MAGISTR
2;Alexandrea;Hickle;following;lyre;blah underneath;next pillow;Derek.Wolff@hotmail.com;15013;upside-down qua warmly;knight whenever fighter;false;GRANT;out instead until;Jordan;Ramiroland;inasmuch mid kissingly;honestly;27876;8928;ENGLISH;KECHKI;MAGISTR
3;Jared;Yost;immolate redound;bitterly edible hm;more pro;fraudster;Wyatt.Kshlerin@yahoo.com;31227;blah if mortally;fast because foolishly;false;GRANT;whose;Qatar;Laguna Niguel;untie;cautious smoke;2422;19854;UZBEK;SIRTQI;MAGISTR
4;Kaitlyn;Schultz;um;watery whereas contagion;for;weekend;Oceane87@yahoo.com;30390;sans batch;than outside;true;GRANT;beneath;Reunion;Kuphalville;ford;as accidentally indeed;29213;20581;UZBEK;KECHKI;BAKALAVR
5;Alia;Wiza;terminate during anxiously;zowie psst into;compassionate helplessly when;wonderfully deployment petitioner;Dortha0@gmail.com;1897;which;plume wherever ack;true;GRANT;immediately serpentine;Holy See (Vatican City State);Doylechester;rural outset;once uh-huh;4938;26709;RUSSIAN;KUNDUZGI;MAGISTR
6;Betsy;Mitchell;pfft dip oof;election;elementary;horror wicked;Sammy_Shanahan-Bradtke@hotmail.com;7713;who several;graduate;true;GRANT;mortally pale meh;Libyan Arab Jamahiriya;Fort Micaela;till grin sleepily;pish respect that;25866;22795;RUSSIAN;KUNDUZGI;MAGISTR
7;Andres;Kemmer;honey;whether bale pace;that daily delay;finally but;Mariano.Friesen@yahoo.com;14983;ack;blah embitter;true;GRANT;yuck;Norway;Norman;upstage worried surprisingly;billing masculine;17546;5723;UZBEK;SIRTQI;MAGISTR
8;Lexi;Pfannerstill;around context sprint;than;highly;chicken;Evelyn.Lehner79@gmail.com;3065;prejudge er;phew however brace;false;GRANT;excluding reply sore;Cote d'Ivoire;Conncester;aha;stability overspend seagull;21084;27295;ENGLISH;KECHKI;MAGISTR
9;Arnold;Mante;always;however wisdom ew;when if;woot vie finally;Cruz_Lind@gmail.com;26717;administrator;tensely enthusiastically manacle;false;KONTRAKT;softly;Montserrat;Jersey City;which squiggly consequently;drat even;8408;10243;ENGLISH;KUNDUZGI;BAKALAVR
10;Brandyn;Morissette;which who;bristle experienced around;scratchy sugary;amid till intuit;Britney_Bernier76@yahoo.com;6750;tabby even;inhere eek;true;KONTRAKT;immaterial;Cameroon;Bartellport;yippee;after light before;17890;26512;RUSSIAN;KUNDUZGI;BAKALAVR
